State,Year,Month,Day,Rainfall (mm)
Johor,2015,7,8,0.20
Johor,2015,7,9,0.68
Johor,2015,7,10,0.57
Johor,2015,7,11,3.37
Johor,2015,7,12,8.62
Johor,2015,7,13,0.85
Johor,2015,7,14,3.71
Johor,2015,7,15,6.02
Johor,2015,7,16,5.17
Johor,2015,7,17,9.89
Johor,2015,7,18,25.29
Johor,2015,7,19,22.02
Johor,2015,7,20,16.02
Johor,2015,7,21,2.90
Johor,2015,7,22,3.34
Johor,2015,7,23,3.00
Johor,2015,7,24,2.03
Johor,2015,7,25,2.03
Johor,2015,7,26,0.54
Johor,2015,7,27,0.31
Johor,2015,7,28,0.92
Johor,2015,7,29,1.18
Johor,2015,7,30,1.12
Johor,2015,7,31,3.05
Johor,2015,8,1,3.65
Johor,2015,8,2,9.36
Johor,2015,8,3,5.59
Johor,2015,8,4,10.96
Johor,2015,8,5,18.94
Johor,2015,8,6,1.67
Johor,2015,8,7,0.20
Johor,2015,8,8,1.48
Johor,2015,8,9,3.90
Johor,2015,8,10,6.34
Johor,2015,8,11,0.44
Johor,2015,8,12,0.07
Johor,2015,8,13,1.20
Johor,2015,8,14,20.84
Johor,2015,8,15,3.62
Johor,2015,8,16,0.10
Johor,2015,8,17,1.19
Johor,2015,8,18,0.09
Johor,2015,8,19,0.03
Johor,2015,8,20,1.00
Johor,2015,8,21,1.06
Johor,2015,8,22,9.51
Johor,2015,8,23,16.97
Johor,2015,8,24,21.98
Johor,2015,8,25,17.63
Johor,2015,8,26,13.08
Johor,2015,8,27,0.32
Johor,2015,8,28,2.23
Johor,2015,8,29,4.62
Johor,2015,8,30,2.32
Johor,2015,8,31,3.27
Johor,2015,9,1,0.10
Johor,2015,9,2,5.65
Johor,2015,9,3,2.99
Johor,2015,9,4,2.72
Johor,2015,9,5,6.65
Johor,2015,9,6,2.28
Johor,2015,9,7,10.35
Johor,2015,9,8,9.62
Johor,2015,9,9,12.88
Johor,2015,9,10,2.83
Johor,2015,9,11,1.58
Johor,2015,9,12,3.47
Johor,2015,9,13,1.70
Johor,2015,9,14,2.88
Johor,2015,9,15,3.32
Johor,2015,9,16,0.75
Johor,2015,9,17,9.30
Johor,2015,9,18,0.57
Johor,2015,9,19,10.21
Johor,2015,9,20,0.98
Johor,2015,9,21,2.60
Johor,2015,9,22,5.36
Johor,2015,9,23,9.20
Johor,2015,9,24,10.03
Johor,2015,9,25,5.51
Johor,2015,9,26,6.56
Johor,2015,9,27,4.68
Johor,2015,9,28,0.18
Johor,2015,9,29,1.74
Johor,2015,9,30,1.72
Johor,2015,10,1,6.32
Johor,2015,10,2,1.12
Johor,2015,10,3,7.33
Johor,2015,10,4,2.69
Johor,2015,10,5,4.41
Johor,2015,10,6,8.32
Johor,2015,10,7,0.99
Johor,2015,10,8,4.44
Johor,2015,10,9,6.41
Johor,2015,10,10,1.61
Johor,2015,10,11,2.89
Johor,2015,10,12,0.55
Johor,2015,10,13,1.73
Johor,2015,10,14,1.34
Johor,2015,10,15,4.97
Johor,2015,10,16,0.81
Johor,2015,10,17,2.16
Johor,2015,10,18,4.80
Johor,2015,10,19,4.46
Johor,2015,10,20,0.66
Johor,2015,10,21,0.62
Johor,2015,10,22,2.88
Johor,2015,10,23,8.18
Johor,2015,10,24,1.93
Johor,2015,10,25,3.08
Johor,2015,10,26,5.33
Johor,2015,10,27,2.80
Johor,2015,10,28,19.06
Johor,2015,10,29,13.77
Johor,2015,10,30,8.64
Johor,2015,10,31,21.42
Johor,2015,11,1,12.60
Johor,2015,11,2,36.05
Johor,2015,11,3,2.37
Johor,2015,11,4,5.16
Johor,2015,11,5,7.08
Johor,2015,11,6,1.70
Johor,2015,11,7,0.90
Johor,2015,11,8,2.22
Johor,2015,11,9,15.08
Johor,2015,11,10,6.11
Johor,2015,11,11,31.07
Johor,2015,11,12,22.57
Johor,2015,11,13,20.68
Johor,2015,11,14,9.39
Johor,2015,11,15,4.84
Johor,2015,11,16,1.05
Johor,2015,11,17,6.44
Johor,2015,11,18,19.46
Johor,2015,11,19,11.13
Johor,2015,11,20,10.12
Johor,2015,11,21,8.59
Johor,2015,11,22,5.44
Johor,2015,11,23,7.60
Johor,2015,11,24,12.07
Johor,2015,11,25,13.12
Johor,2015,11,26,17.40
Johor,2015,11,27,41.24
Johor,2015,11,28,4.34
Johor,2015,11,29,0.98
Johor,2015,11,30,24.06
Johor,2015,12,1,16.87
Johor,2015,12,2,6.88
Johor,2015,12,3,1.82
Johor,2015,12,4,0.13
Johor,2015,12,5,10.40
Johor,2015,12,6,4.56
Johor,2015,12,7,29.02
Johor,2015,12,8,13.47
Johor,2015,12,9,7.72
Johor,2015,12,10,6.21
Johor,2015,12,11,7.56
Johor,2015,12,12,1.68
Johor,2015,12,13,2.83
Johor,2015,12,14,1.33
Johor,2015,12,15,0.31
Johor,2015,12,16,1.84
Johor,2015,12,17,2.32
Johor,2015,12,18,0.42
Johor,2015,12,19,0.25
Johor,2015,12,20,1.31
Johor,2015,12,21,1.39
Johor,2015,12,22,0.10
Johor,2015,12,23,0.42
Johor,2015,12,24,2.63
Johor,2015,12,25,3.54
Johor,2015,12,26,3.02
Johor,2015,12,27,5.73
Johor,2015,12,28,3.31
Johor,2015,12,29,0.93
Johor,2015,12,30,2.09
Johor,2015,12,31,3.44
Johor,2016,1,1,0.02
Johor,2016,1,2,0.19
Johor,2016,1,3,0.07
Johor,2016,1,4,0.00
Johor,2016,1,5,0.57
Johor,2016,1,6,0.22
Johor,2016,1,7,0.66
Johor,2016,1,8,25.74
Johor,2016,1,9,23.07
Johor,2016,1,10,3.99
Johor,2016,1,11,4.44
Johor,2016,1,12,3.05
Johor,2016,1,13,0.50
Johor,2016,1,14,0.11
Johor,2016,1,15,0.05
Johor,2016,1,16,0.05
Johor,2016,1,17,0.18
Johor,2016,1,18,0.13
Johor,2016,1,19,1.02
Johor,2016,1,20,0.51
Johor,2016,1,21,4.64
Johor,2016,1,22,10.80
Johor,2016,1,23,6.57
Johor,2016,1,24,12.78
Johor,2016,1,25,8.97
Johor,2016,1,26,13.74
Johor,2016,1,27,11.69
Johor,2016,1,28,17.98
Johor,2016,1,29,17.07
Johor,2016,1,30,25.64
Johor,2016,1,31,19.43
Johor,2016,2,1,0.47
Johor,2016,2,2,1.77
Johor,2016,2,3,6.47
Johor,2016,2,4,5.36
Johor,2016,2,5,1.46
Johor,2016,2,6,3.36
Johor,2016,2,7,2.96
Johor,2016,2,8,4.35
Johor,2016,2,9,4.01
Johor,2016,2,10,3.97
Johor,2016,2,11,9.14
Johor,2016,2,12,5.27
Johor,2016,2,13,5.27
Johor,2016,2,14,4.70
Johor,2016,2,15,2.31
Johor,2016,2,16,0.64
Johor,2016,2,17,5.36
Johor,2016,2,18,4.27
Johor,2016,2,19,0.13
Johor,2016,2,20,1.53
Johor,2016,2,21,0.46
Johor,2016,2,22,5.89
Johor,2016,2,23,5.29
Johor,2016,2,24,0.33
Johor,2016,2,25,0.11
Johor,2016,2,26,0.08
Johor,2016,2,27,0.21
Johor,2016,2,28,0.85
Johor,2016,2,29,2.03
Johor,2016,3,1,0.81
Johor,2016,3,2,2.53
Johor,2016,3,3,1.64
Johor,2016,3,4,0.32
Johor,2016,3,5,0.00
Johor,2016,3,6,0.63
Johor,2016,3,7,2.38
Johor,2016,3,8,3.17
Johor,2016,3,9,2.85
Johor,2016,3,10,9.37
Johor,2016,3,11,2.99
Johor,2016,3,12,0.66
Johor,2016,3,13,0.10
Johor,2016,3,14,3.90
Johor,2016,3,15,13.73
Johor,2016,3,16,7.57
Johor,2016,3,17,8.70
Johor,2016,3,18,35.48
Johor,2016,3,19,6.50
Johor,2016,3,20,3.23
Johor,2016,3,21,2.50
Johor,2016,3,22,9.18
Johor,2016,3,23,7.48
Johor,2016,3,24,0.18
Johor,2016,3,25,4.64
Johor,2016,3,26,12.27
Johor,2016,3,27,8.09
Johor,2016,3,28,3.23
Johor,2016,3,29,1.19
Johor,2016,3,30,0.80
Johor,2016,3,31,3.93
Johor,2016,4,1,1.46
Johor,2016,4,2,0.92
Johor,2016,4,3,3.09
Johor,2016,4,4,0.05
Johor,2016,4,5,2.17
Johor,2016,4,6,2.46
Johor,2016,4,7,6.04
Johor,2016,4,8,2.96
Johor,2016,4,9,0.11
Johor,2016,4,10,0.15
Johor,2016,4,11,0.18
Johor,2016,4,12,0.27
Johor,2016,4,13,0.31
Johor,2016,4,14,0.05
Johor,2016,4,15,0.00
Johor,2016,4,16,0.00
Johor,2016,4,17,0.02
Johor,2016,4,18,4.20
Johor,2016,4,19,15.39
Johor,2016,4,20,22.89
Johor,2016,4,21,4.14
Johor,2016,4,22,3.72
Johor,2016,4,23,3.89
Johor,2016,4,24,17.62
Johor,2016,4,25,26.22
Johor,2016,4,26,28.23
Johor,2016,4,27,3.38
Johor,2016,4,28,11.95
Johor,2016,4,29,2.87
Johor,2016,4,30,9.44
Johor,2016,5,1,4.23
Johor,2016,5,2,10.75
Johor,2016,5,3,3.22
Johor,2016,5,4,0.36
Johor,2016,5,5,4.09
